roi,Amylax_triacantha,Aphanizomenon_flosaquae,Aphanothece_paralleliformis,Beads,Centrales_sp,Ceratoneis_closterium,Chaetoceros_sp,Chaetoceros_sp_single,Chlorococcales,Chroococcales,Chroococcus_small,Ciliata,Cryptomonadales,Cryptophyceae-Teleaulax,Cyclotella_choctawhatcheeana,Cymbomonas_tetramitiformis,Dinophyceae,Dinophysis_acuminata,Dolichospermum-Anabaenopsis,Dolichospermum-Anabaenopsis-coiled,Euglenophyceae,Eutreptiella_sp,Gonyaulax_verior,Gymnodiniales,Gymnodinium_like,Heterocapsa_rotundata,Heterocapsa_triquetra,Heterocyte,Katablepharis_remigera,Licmophora_sp,Melosira_arctica,Merismopedia_sp,Mesodinium_rubrum,Monoraphidium_contortum,Nitzschia_paleacea,Nodularia_spumigena,Oocystis_sp,Oscillatoriales,Pauliella_taeniata,Pennales_sp_thick,Pennales_sp_thin,Peridiniella_catenata_chain,Peridiniella_catenata_single,Prorocentrum_cordatum,Pseudopedinella_sp,Pyramimonas_sp,Skeletonema_marinoi,Snowella-Woronichinia,Thalassiosira_levanderi,Uroglenopsis_sp
56,0.00017,0.00284,0.00055,0.53099,0.00000,0.02217,0.00007,0.00002,0.00028,0.01551,0.00036,0.00028,0.03073,0.16841,0.00244,0.00002,0.00001,0.00001,0.00104,0.00004,0.00009,0.00164,0.00000,0.00019,0.00003,0.00794,0.00000,0.07006,0.00087,0.00002,0.00000,0.00243,0.00000,0.01183,0.00042,0.00008,0.00012,0.00149,0.00001,0.00205,0.00366,0.00003,0.00000,0.00003,0.00398,0.10608,0.00501,0.00049,0.00066,0.00485
57,0.00001,0.00179,0.00005,0.03195,0.00000,0.01631,0.00003,0.00000,0.00002,0.00239,0.00002,0.00001,0.04767,0.68083,0.00059,0.00001,0.00000,0.00000,0.00010,0.00000,0.00005,0.00310,0.00000,0.00001,0.00000,0.00448,0.00000,0.09152,0.00009,0.00001,0.00000,0.00008,0.00000,0.00171,0.00002,0.00001,0.00005,0.00052,0.00000,0.00438,0.00214,0.00000,0.00000,0.00002,0.00076,0.10473,0.00201,0.00004,0.00042,0.00206
58,0.00232,0.00697,0.00394,0.00049,0.00067,0.01879,0.00127,0.00009,0.00059,0.00122,0.00018,0.00105,0.01898,0.78134,0.00008,0.00060,0.00002,0.00004,0.00085,0.00045,0.02070,0.00635,0.00025,0.00083,0.00003,0.00350,0.00009,0.00390,0.00046,0.03498,0.00001,0.00021,0.00014,0.00345,0.00190,0.00042,0.00849,0.00131,0.00003,0.04426,0.02021,0.00028,0.00123,0.00331,0.00038,0.00043,0.00078,0.00058,0.00112,0.00039
59,0.00014,0.00647,0.00017,0.00839,0.00012,0.00115,0.04491,0.00148,0.02723,0.00022,0.00038,0.00007,0.00769,0.02707,0.15969,0.00063,0.00256,0.00000,0.18116,0.00382,0.00036,0.00842,0.00001,0.00882,0.00473,0.15409,0.00019,0.00388,0.00078,0.00002,0.00703,0.00137,0.00459,0.00198,0.00030,0.00232,0.01259,0.00103,0.00002,0.00079,0.00023,0.00831,0.00200,0.00003,0.05485,0.00321,0.00983,0.00548,0.22185,0.00756
60,0.00101,0.02244,0.00512,0.00475,0.00192,0.06710,0.00370,0.00049,0.00036,0.00199,0.00017,0.00192,0.05744,0.56453,0.00017,0.00123,0.00018,0.00027,0.00224,0.00231,0.01659,0.04100,0.00030,0.00809,0.00010,0.02763,0.00085,0.01142,0.00165,0.02143,0.00016,0.00018,0.00036,0.00200,0.00709,0.00120,0.00443,0.00157,0.00008,0.06284,0.03143,0.00112,0.00274,0.00376,0.00059,0.00239,0.00332,0.00067,0.00524,0.00043
61,0.00018,0.00085,0.00030,0.17713,0.00000,0.00138,0.00004,0.00013,0.00084,0.02336,0.00790,0.00010,0.00251,0.00981,0.00683,0.00003,0.00002,0.00001,0.00051,0.00001,0.00001,0.00024,0.00000,0.00002,0.00007,0.00387,0.00000,0.00763,0.00007,0.00001,0.00000,0.03930,0.00001,0.01445,0.00010,0.00006,0.00008,0.00667,0.00002,0.00073,0.00156,0.00007,0.00000,0.00003,0.01060,0.47810,0.00111,0.00137,0.00074,0.20115
62,0.00003,0.00059,0.00005,0.26421,0.00000,0.00099,0.00000,0.00001,0.00005,0.00877,0.00060,0.00001,0.00103,0.01015,0.00158,0.00000,0.00000,0.00000,0.00004,0.00000,0.00000,0.00005,0.00000,0.00000,0.00000,0.00098,0.00000,0.01131,0.00001,0.00000,0.00000,0.00264,0.00000,0.00672,0.00002,0.00001,0.00001,0.00329,0.00000,0.00040,0.00101,0.00000,0.00000,0.00001,0.00176,0.63744,0.00061,0.00006,0.00013,0.04540
63,0.00000,0.00012,0.00002,0.00039,0.00000,0.00212,0.00001,0.00000,0.00000,0.00016,0.00000,0.00001,0.01403,0.97480,0.00002,0.00000,0.00000,0.00000,0.00000,0.00000,0.00003,0.00070,0.00000,0.00000,0.00000,0.00029,0.00000,0.00257,0.00003,0.00001,0.00000,0.00000,0.00000,0.00039,0.00000,0.00000,0.00004,0.00004,0.00000,0.00045,0.00015,0.00000,0.00000,0.00002,0.00003,0.00342,0.00003,0.00001,0.00008,0.00003
64,0.02062,0.00123,0.00777,0.00172,0.00192,0.00035,0.00014,0.00008,0.00003,0.00091,0.00062,0.00013,0.00003,0.00015,0.00017,0.00001,0.00013,0.00010,0.00018,0.00099,0.00080,0.00003,0.00515,0.00016,0.00002,0.00012,0.00009,0.00002,0.00000,0.00020,0.00018,0.00031,0.00007,0.00003,0.00032,0.00091,0.00001,0.00006,0.00825,0.00027,0.00029,0.92169,0.02088,0.00000,0.00020,0.00002,0.00003,0.00220,0.00033,0.00005
65,0.00022,0.02100,0.00173,0.00360,0.00202,0.02076,0.00471,0.00019,0.00021,0.00153,0.00008,0.00112,0.05875,0.67769,0.00036,0.00069,0.00076,0.00005,0.00396,0.00184,0.00559,0.06901,0.00008,0.00754,0.00025,0.03126,0.00133,0.01690,0.00230,0.00263,0.00029,0.00006,0.00083,0.00182,0.00108,0.00098,0.00313,0.00073,0.00003,0.01252,0.00312,0.00065,0.00289,0.00320,0.00090,0.00220,0.00335,0.00069,0.02308,0.00030
66,0.00002,0.00054,0.00004,0.02666,0.00000,0.00355,0.00005,0.00001,0.00007,0.00243,0.00008,0.00001,0.05723,0.20190,0.00309,0.00010,0.00000,0.00000,0.00007,0.00000,0.00001,0.00514,0.00000,0.00004,0.00001,0.03673,0.00000,0.04631,0.00016,0.00001,0.00000,0.00029,0.00000,0.00145,0.00002,0.00001,0.00006,0.00051,0.00000,0.00138,0.00046,0.00002,0.00000,0.00002,0.00678,0.59650,0.00065,0.00013,0.00361,0.00380
67,0.00014,0.00022,0.00022,0.00147,0.00003,0.00192,0.00086,0.00008,0.00020,0.00219,0.00013,0.00031,0.08023,0.59231,0.00117,0.00163,0.00002,0.00000,0.00003,0.00000,0.00018,0.00785,0.00000,0.00002,0.00006,0.00545,0.00000,0.02519,0.00065,0.00022,0.00000,0.00025,0.00001,0.00869,0.00005,0.00001,0.00044,0.00036,0.00001,0.00357,0.00033,0.00002,0.00002,0.00035,0.04962,0.19149,0.00112,0.00015,0.01438,0.00634
68,0.00008,0.00116,0.00021,0.34692,0.00000,0.00114,0.00001,0.00006,0.00046,0.04375,0.00563,0.00001,0.00180,0.00638,0.00364,0.00001,0.00001,0.00001,0.00104,0.00001,0.00000,0.00011,0.00000,0.00002,0.00005,0.00868,0.00000,0.02075,0.00002,0.00000,0.00000,0.04848,0.00000,0.01218,0.00011,0.00004,0.00002,0.00567,0.00001,0.00044,0.00161,0.00003,0.00000,0.00001,0.00500,0.30940,0.00139,0.00073,0.00027,0.17265
69,0.00045,0.00530,0.00293,0.00276,0.00012,0.02763,0.00136,0.00004,0.00015,0.00116,0.00009,0.00037,0.02096,0.88715,0.00012,0.00008,0.00003,0.00000,0.00053,0.00030,0.00385,0.00986,0.00003,0.00163,0.00002,0.00958,0.00008,0.00233,0.00037,0.00076,0.00001,0.00007,0.00005,0.00095,0.00082,0.00009,0.00064,0.00044,0.00000,0.00564,0.00358,0.00029,0.00060,0.00019,0.00049,0.00097,0.00068,0.00043,0.00387,0.00014
70,0.00001,0.00007,0.00002,0.00296,0.00000,0.00674,0.00000,0.00000,0.00004,0.00249,0.00004,0.00001,0.06258,0.56456,0.00018,0.00003,0.00000,0.00000,0.00001,0.00000,0.00002,0.00169,0.00000,0.00001,0.00000,0.00494,0.00000,0.00962,0.00007,0.00000,0.00000,0.00017,0.00000,0.00199,0.00001,0.00000,0.00006,0.00049,0.00000,0.00042,0.00069,0.00000,0.00000,0.00002,0.00082,0.33727,0.00014,0.00006,0.00008,0.00172
71,0.00016,0.00004,0.00005,0.00204,0.00000,0.00369,0.00002,0.00002,0.00022,0.00435,0.00015,0.00007,0.06857,0.46079,0.00023,0.00055,0.00001,0.00000,0.00001,0.00000,0.00009,0.00375,0.00000,0.00002,0.00002,0.00744,0.00000,0.00534,0.00030,0.00004,0.00000,0.00048,0.00000,0.01435,0.00002,0.00000,0.00034,0.00076,0.00000,0.00068,0.00079,0.00000,0.00000,0.00013,0.03011,0.38292,0.00020,0.00021,0.00042,0.01064
72,0.00037,0.00168,0.00033,0.12305,0.00001,0.00066,0.00003,0.00011,0.00039,0.02047,0.00650,0.00016,0.00239,0.00567,0.01035,0.00007,0.00002,0.00002,0.00072,0.00001,0.00000,0.00013,0.00000,0.00002,0.00023,0.00459,0.00000,0.03630,0.00010,0.00001,0.00000,0.05454,0.00001,0.02021,0.00007,0.00031,0.00003,0.01093,0.00004,0.00084,0.00111,0.00006,0.00000,0.00005,0.00702,0.61119,0.00059,0.00070,0.00050,0.07742
73,0.00004,0.00001,0.00003,0.00119,0.00000,0.00319,0.00000,0.00000,0.00010,0.00116,0.00002,0.00002,0.04087,0.86186,0.00004,0.00004,0.00000,0.00000,0.00000,0.00000,0.00002,0.00081,0.00000,0.00002,0.00000,0.00232,0.00000,0.00066,0.00013,0.00000,0.00000,0.00012,0.00000,0.00353,0.00001,0.00000,0.00007,0.00008,0.00000,0.00005,0.00010,0.00000,0.00000,0.00001,0.00250,0.08050,0.00003,0.00008,0.00007,0.00032
74,0.00006,0.00080,0.00002,0.00024,0.00449,0.00013,0.00609,0.00104,0.00006,0.00000,0.00000,0.00163,0.00039,0.00136,0.00008,0.00043,0.00886,0.00103,0.00370,0.00115,0.00044,0.00744,0.00013,0.00343,0.00067,0.00059,0.00573,0.00013,0.00219,0.00104,0.04638,0.00000,0.86082,0.00009,0.00006,0.00146,0.00165,0.00003,0.00001,0.00026,0.00005,0.00083,0.02769,0.00021,0.00010,0.00002,0.00015,0.00009,0.00669,0.00004
75,0.00001,0.00000,0.00001,0.00020,0.00000,0.00452,0.00000,0.00000,0.00000,0.00017,0.00000,0.00002,0.01593,0.96341,0.00000,0.00001,0.00000,0.00000,0.00000,0.00000,0.00004,0.00065,0.00000,0.00000,0.00000,0.00009,0.00000,0.00016,0.00006,0.00001,0.00000,0.00000,0.00000,0.00072,0.00000,0.00000,0.00002,0.00002,0.00000,0.00008,0.00011,0.00000,0.00000,0.00002,0.00014,0.01356,0.00001,0.00000,0.00001,0.00002
76,0.00012,0.03156,0.00093,0.00062,0.00142,0.01302,0.00860,0.00029,0.00001,0.00019,0.00001,0.00150,0.03977,0.66343,0.00004,0.00099,0.00006,0.00015,0.00151,0.00056,0.01929,0.09626,0.00002,0.00163,0.00003,0.00840,0.00039,0.01126,0.00085,0.01285,0.00009,0.00001,0.00074,0.00060,0.00027,0.00118,0.00088,0.00039,0.00003,0.06218,0.00414,0.00056,0.00523,0.00175,0.00009,0.00074,0.00089,0.00010,0.00426,0.00009
77,0.00013,0.03575,0.00106,0.03049,0.00004,0.00272,0.00013,0.00004,0.00042,0.06973,0.00907,0.00018,0.01006,0.07163,0.00715,0.00004,0.00009,0.00002,0.01708,0.00005,0.00014,0.00125,0.00000,0.00007,0.00049,0.00262,0.00000,0.07693,0.00016,0.00001,0.00001,0.02303,0.00006,0.18719,0.00003,0.00070,0.00021,0.11486,0.00004,0.00100,0.00263,0.00004,0.00001,0.00101,0.00301,0.19417,0.00210,0.00213,0.00096,0.12928
78,0.00001,0.00003,0.00003,0.00004,0.00000,0.00407,0.00002,0.00000,0.00007,0.00039,0.00000,0.00001,0.08738,0.89770,0.00003,0.00008,0.00000,0.00000,0.00001,0.00000,0.00020,0.00303,0.00000,0.00016,0.00000,0.00091,0.00000,0.00082,0.00013,0.00001,0.00000,0.00001,0.00000,0.00061,0.00000,0.00000,0.00043,0.00005,0.00000,0.00008,0.00009,0.00000,0.00000,0.00012,0.00021,0.00299,0.00005,0.00010,0.00010,0.00002
79,0.00115,0.01071,0.00428,0.00115,0.00077,0.01916,0.00518,0.00019,0.00057,0.00099,0.00013,0.00186,0.02982,0.78617,0.00017,0.00081,0.00009,0.00008,0.00277,0.00157,0.01745,0.01986,0.00018,0.00437,0.00007,0.01149,0.00038,0.00507,0.00122,0.01109,0.00005,0.00016,0.00041,0.00281,0.00206,0.00077,0.00536,0.00107,0.00003,0.02705,0.00845,0.00061,0.00293,0.00200,0.00049,0.00068,0.00140,0.00082,0.00366,0.00034
80,0.00002,0.00001,0.00001,0.00148,0.00000,0.00324,0.00001,0.00000,0.00004,0.00107,0.00002,0.00002,0.06867,0.52420,0.00007,0.00012,0.00000,0.00000,0.00000,0.00000,0.00003,0.00161,0.00000,0.00001,0.00000,0.00403,0.00000,0.00260,0.00007,0.00000,0.00000,0.00015,0.00000,0.00403,0.00000,0.00000,0.00003,0.00013,0.00000,0.00021,0.00023,0.00000,0.00000,0.00000,0.00789,0.37684,0.00007,0.00004,0.00005,0.00298
81,0.00012,0.00036,0.00011,0.00003,0.03049,0.00006,0.00171,0.00079,0.00011,0.00013,0.00003,0.02610,0.00092,0.00027,0.00010,0.00674,0.49340,0.00158,0.00041,0.00076,0.00006,0.00204,0.00452,0.00069,0.16689,0.00014,0.16021,0.00033,0.01024,0.00010,0.00114,0.00001,0.02324,0.00131,0.00013,0.00064,0.00323,0.00040,0.00017,0.00004,0.00003,0.00005,0.00719,0.04743,0.00084,0.00030,0.00062,0.00022,0.00348,0.00009
82,0.00007,0.00030,0.00021,0.00823,0.00000,0.00702,0.00001,0.00000,0.00023,0.00481,0.00008,0.00006,0.03804,0.88970,0.00020,0.00001,0.00000,0.00000,0.00022,0.00001,0.00006,0.00069,0.00000,0.00018,0.00000,0.00294,0.00000,0.00971,0.00016,0.00000,0.00000,0.00079,0.00000,0.01057,0.00003,0.00000,0.00012,0.00049,0.00000,0.00025,0.00056,0.00000,0.00000,0.00003,0.00051,0.02218,0.00021,0.00032,0.00009,0.00086
83,0.00002,0.00008,0.00005,0.00125,0.00000,0.00282,0.00002,0.00000,0.00002,0.00031,0.00001,0.00002,0.01275,0.96740,0.00005,0.00001,0.00000,0.00000,0.00001,0.00000,0.00004,0.00131,0.00000,0.00001,0.00000,0.00200,0.00000,0.00086,0.00006,0.00001,0.00000,0.00002,0.00000,0.00054,0.00001,0.00000,0.00007,0.00006,0.00000,0.00036,0.00015,0.00000,0.00000,0.00001,0.00034,0.00880,0.00004,0.00003,0.00037,0.00010
84,0.00106,0.00590,0.00252,0.04902,0.00001,0.00072,0.00005,0.00004,0.00035,0.08740,0.01671,0.00119,0.00349,0.02211,0.00341,0.00005,0.00001,0.00002,0.00163,0.00002,0.00001,0.00006,0.00000,0.00001,0.00011,0.00085,0.00000,0.09592,0.00005,0.00001,0.00000,0.13533,0.00000,0.09497,0.00006,0.00029,0.00004,0.03497,0.00004,0.00290,0.00330,0.00002,0.00000,0.00011,0.00204,0.24161,0.00063,0.00125,0.00009,0.18958
85,0.00001,0.00013,0.00002,0.00025,0.00000,0.00105,0.00000,0.00000,0.00001,0.00041,0.00000,0.00001,0.01560,0.97092,0.00003,0.00000,0.00000,0.00000,0.00001,0.00000,0.00001,0.00029,0.00000,0.00000,0.00000,0.00044,0.00000,0.00377,0.00001,0.00000,0.00000,0.00002,0.00000,0.00087,0.00000,0.00000,0.00003,0.00011,0.00000,0.00020,0.00011,0.00000,0.00000,0.00001,0.00003,0.00548,0.00002,0.00002,0.00002,0.00010
86,0.00001,0.00005,0.00002,0.00012,0.00000,0.00277,0.00001,0.00000,0.00004,0.00043,0.00001,0.00001,0.02605,0.95653,0.00002,0.00001,0.00000,0.00000,0.00001,0.00000,0.00011,0.00064,0.00000,0.00001,0.00000,0.00046,0.00000,0.00094,0.00004,0.00000,0.00000,0.00003,0.00000,0.00401,0.00000,0.00000,0.00010,0.00021,0.00000,0.00007,0.00015,0.00000,0.00000,0.00004,0.00020,0.00664,0.00006,0.00003,0.00003,0.00013
87,0.00043,0.03861,0.00810,0.00075,0.01041,0.00469,0.00288,0.00171,0.00053,0.01387,0.00560,0.00330,0.00200,0.00562,0.00012,0.00009,0.00655,0.04121,0.00650,0.00844,0.10449,0.01206,0.16237,0.00111,0.00115,0.00059,0.16719,0.00047,0.00047,0.00320,0.00077,0.00036,0.00372,0.00143,0.00220,0.00360,0.00329,0.00339,0.00235,0.00195,0.00344,0.00532,0.30471,0.01043,0.00019,0.00009,0.00492,0.03158,0.00120,0.00056
88,0.00071,0.00132,0.00102,0.00013,0.00025,0.00477,0.00140,0.00003,0.00027,0.00064,0.00006,0.00156,0.03302,0.90598,0.00007,0.00096,0.00004,0.00001,0.00047,0.00016,0.00726,0.01060,0.00003,0.00078,0.00004,0.00204,0.00005,0.00210,0.00074,0.00310,0.00001,0.00009,0.00031,0.00386,0.00010,0.00008,0.00344,0.00044,0.00001,0.00527,0.00134,0.00007,0.00040,0.00165,0.00065,0.00057,0.00020,0.00058,0.00114,0.00021
89,0.00006,0.00002,0.00002,0.00116,0.00000,0.00475,0.00001,0.00000,0.00011,0.00474,0.00008,0.00006,0.14078,0.41543,0.00015,0.00034,0.00000,0.00000,0.00000,0.00000,0.00008,0.00355,0.00000,0.00002,0.00001,0.00348,0.00000,0.00603,0.00053,0.00001,0.00000,0.00039,0.00000,0.00984,0.00001,0.00000,0.00012,0.00037,0.00000,0.00014,0.00024,0.00000,0.00000,0.00009,0.02382,0.38039,0.00017,0.00016,0.00021,0.00261
90,0.00266,0.01104,0.00770,0.00121,0.00033,0.01571,0.00170,0.00009,0.00116,0.00190,0.00054,0.00086,0.01493,0.86042,0.00035,0.00024,0.00003,0.00001,0.00142,0.00055,0.00779,0.00297,0.00020,0.00086,0.00006,0.00559,0.00011,0.00432,0.00051,0.00592,0.00001,0.00054,0.00012,0.00701,0.00190,0.00075,0.00349,0.00303,0.00002,0.01263,0.00887,0.00030,0.00077,0.00160,0.00092,0.00090,0.00085,0.00093,0.00378,0.00040
91,0.00013,0.00132,0.00023,0.21253,0.00000,0.00033,0.00000,0.00002,0.00062,0.04286,0.00887,0.00002,0.00068,0.00293,0.00735,0.00000,0.00000,0.00001,0.00134,0.00001,0.00000,0.00002,0.00000,0.00000,0.00006,0.00175,0.00000,0.02176,0.00001,0.00000,0.00000,0.10894,0.00000,0.02312,0.00004,0.00008,0.00002,0.01219,0.00001,0.00048,0.00153,0.00002,0.00000,0.00001,0.00284,0.24058,0.00066,0.00084,0.00007,0.30573
92,0.00005,0.00002,0.00002,0.00508,0.00000,0.00142,0.00001,0.00001,0.00010,0.00251,0.00009,0.00003,0.04616,0.30307,0.00055,0.00020,0.00001,0.00000,0.00001,0.00000,0.00001,0.00235,0.00000,0.00001,0.00001,0.00973,0.00000,0.00429,0.00021,0.00000,0.00000,0.00042,0.00000,0.00571,0.00000,0.00000,0.00004,0.00017,0.00000,0.00010,0.00006,0.00000,0.00000,0.00002,0.04291,0.56947,0.00010,0.00016,0.00136,0.00351
93,0.00007,0.00002,0.00002,0.00639,0.00000,0.00343,0.00000,0.00001,0.00006,0.00528,0.00015,0.00002,0.02527,0.20571,0.00012,0.00008,0.00000,0.00000,0.00000,0.00000,0.00002,0.00103,0.00000,0.00000,0.00000,0.00429,0.00000,0.00380,0.00008,0.00001,0.00000,0.00065,0.00000,0.00781,0.00001,0.00000,0.00003,0.00047,0.00000,0.00029,0.00061,0.00000,0.00000,0.00002,0.02192,0.69434,0.00013,0.00008,0.00013,0.01765
94,0.00001,0.00000,0.00000,0.02351,0.00000,0.00043,0.00000,0.00000,0.00001,0.00089,0.00002,0.00000,0.00473,0.05085,0.00017,0.00001,0.00000,0.00000,0.00000,0.00000,0.00000,0.00019,0.00000,0.00000,0.00000,0.00326,0.00000,0.00207,0.00002,0.00000,0.00000,0.00012,0.00000,0.00151,0.00000,0.00000,0.00000,0.00007,0.00000,0.00003,0.00004,0.00000,0.00000,0.00000,0.00615,0.90359,0.00002,0.00001,0.00008,0.00218
95,0.00000,0.00012,0.00001,0.00006,0.00000,0.00426,0.00005,0.00000,0.00003,0.00016,0.00000,0.00001,0.08549,0.89000,0.00003,0.00007,0.00000,0.00000,0.00003,0.00000,0.00025,0.00870,0.00000,0.00011,0.00000,0.00301,0.00000,0.00194,0.00006,0.00001,0.00000,0.00000,0.00000,0.00026,0.00000,0.00000,0.00072,0.00007,0.00000,0.00082,0.00031,0.00000,0.00000,0.00006,0.00010,0.00293,0.00007,0.00006,0.00012,0.00007
96,0.00015,0.00131,0.00024,0.08733,0.00000,0.00023,0.00001,0.00003,0.00035,0.03612,0.01148,0.00004,0.00069,0.00321,0.00579,0.00001,0.00000,0.00001,0.00066,0.00000,0.00000,0.00003,0.00000,0.00000,0.00008,0.00093,0.00000,0.01579,0.00001,0.00000,0.00000,0.08802,0.00000,0.03652,0.00002,0.00008,0.00002,0.01855,0.00001,0.00033,0.00081,0.00002,0.00000,0.00002,0.00381,0.40328,0.00036,0.00067,0.00013,0.28286
97,0.00026,0.02078,0.00119,0.10383,0.00004,0.00177,0.00004,0.00006,0.00048,0.15578,0.03193,0.00011,0.00221,0.00918,0.01154,0.00002,0.00006,0.00003,0.00609,0.00004,0.00003,0.00021,0.00000,0.00002,0.00041,0.00191,0.00000,0.03549,0.00003,0.00000,0.00000,0.08289,0.00002,0.05387,0.00005,0.00070,0.00007,0.08240,0.00011,0.00083,0.00312,0.00009,0.00001,0.00023,0.00473,0.18632,0.00224,0.00352,0.00071,0.19453
98,0.00123,0.00026,0.00121,0.00002,0.00002,0.00009,0.00017,0.00004,0.00037,0.00211,0.00071,0.00460,0.00057,0.01098,0.00003,0.00018,0.00003,0.00000,0.00009,0.00001,0.00019,0.00003,0.00006,0.00001,0.00032,0.00001,0.00000,0.00015,0.00007,0.00002,0.00000,0.00109,0.00001,0.88942,0.00006,0.00001,0.00023,0.07577,0.00000,0.00002,0.00035,0.00000,0.00001,0.00421,0.00039,0.00303,0.00003,0.00020,0.00001,0.00157
99,0.00007,0.00060,0.00019,0.02673,0.00000,0.00431,0.00001,0.00000,0.00025,0.01419,0.00032,0.00007,0.03157,0.43818,0.00085,0.00003,0.00000,0.00000,0.00019,0.00000,0.00003,0.00058,0.00000,0.00003,0.00001,0.00290,0.00000,0.05075,0.00020,0.00001,0.00000,0.00257,0.00000,0.04273,0.00005,0.00001,0.00008,0.00280,0.00000,0.00041,0.00086,0.00000,0.00000,0.00011,0.00155,0.36498,0.00080,0.00021,0.00018,0.01058
100,0.00045,0.00019,0.00019,0.00426,0.00000,0.00243,0.00013,0.00006,0.00093,0.00665,0.00049,0.00011,0.06661,0.43084,0.00157,0.00169,0.00002,0.00000,0.00014,0.00000,0.00013,0.00380,0.00000,0.00006,0.00011,0.02683,0.00000,0.01401,0.00017,0.00005,0.00000,0.00250,0.00001,0.02204,0.00003,0.00001,0.00050,0.00134,0.00000,0.00137,0.00070,0.00004,0.00001,0.00008,0.06796,0.30797,0.00041,0.00085,0.00165,0.03062
101,0.00000,0.00001,0.00000,0.00015,0.00000,0.00212,0.00000,0.00000,0.00002,0.00026,0.00000,0.00000,0.10323,0.83220,0.00002,0.00010,0.00000,0.00000,0.00000,0.00000,0.00003,0.00261,0.00000,0.00004,0.00000,0.00313,0.00000,0.00141,0.00007,0.00000,0.00000,0.00002,0.00000,0.00094,0.00000,0.00000,0.00005,0.00004,0.00000,0.00006,0.00006,0.00000,0.00000,0.00002,0.00030,0.05296,0.00001,0.00002,0.00003,0.00008
102,0.00299,0.00825,0.00497,0.00051,0.00087,0.03103,0.00402,0.00022,0.00089,0.00227,0.00032,0.00343,0.04717,0.71991,0.00021,0.00092,0.00013,0.00014,0.00199,0.00094,0.04194,0.01603,0.00050,0.00259,0.00008,0.00418,0.00028,0.00700,0.00234,0.01419,0.00007,0.00036,0.00049,0.00486,0.00132,0.00062,0.01121,0.00237,0.00009,0.02772,0.01733,0.00033,0.00209,0.00384,0.00100,0.00064,0.00152,0.00167,0.00163,0.00051
103,0.00015,0.00006,0.00011,0.00044,0.00000,0.00716,0.00005,0.00001,0.00028,0.00208,0.00011,0.00008,0.04978,0.86327,0.00009,0.00015,0.00000,0.00000,0.00001,0.00000,0.00061,0.00223,0.00000,0.00001,0.00001,0.00163,0.00000,0.00203,0.00036,0.00014,0.00000,0.00020,0.00000,0.01365,0.00005,0.00000,0.00066,0.00076,0.00000,0.00072,0.00114,0.00000,0.00000,0.00030,0.01120,0.03815,0.00030,0.00015,0.00041,0.00148
104,0.00008,0.00027,0.00008,0.13723,0.00000,0.00077,0.00000,0.00001,0.00028,0.01503,0.00220,0.00001,0.00215,0.01463,0.00209,0.00001,0.00000,0.00000,0.00019,0.00000,0.00000,0.00006,0.00000,0.00001,0.00001,0.00398,0.00000,0.01249,0.00002,0.00000,0.00000,0.03788,0.00000,0.01981,0.00003,0.00001,0.00001,0.00492,0.00000,0.00034,0.00112,0.00000,0.00000,0.00001,0.00412,0.63021,0.00023,0.00024,0.00007,0.10940
105,0.00403,0.00889,0.00325,0.01033,0.00170,0.00309,0.02818,0.00102,0.01921,0.00182,0.00084,0.01388,0.02698,0.50023,0.01043,0.00811,0.00201,0.00022,0.02828,0.00355,0.00265,0.01725,0.00016,0.00455,0.00626,0.03554,0.00089,0.00852,0.00497,0.00339,0.00025,0.00314,0.01111,0.05911,0.00213,0.00490,0.02740,0.00419,0.00005,0.00997,0.00182,0.00242,0.01082,0.00316,0.01983,0.01150,0.00485,0.00777,0.04388,0.01145
106,0.00166,0.00019,0.00062,0.00048,0.00007,0.00076,0.00210,0.00029,0.00641,0.00072,0.00042,0.00328,0.02103,0.67774,0.00082,0.01070,0.00014,0.00001,0.00030,0.00003,0.00125,0.00477,0.00003,0.00036,0.00086,0.00533,0.00010,0.00104,0.00275,0.00135,0.00000,0.00092,0.00044,0.14437,0.00027,0.00008,0.00854,0.00267,0.00000,0.00076,0.00032,0.00006,0.00023,0.00530,0.01860,0.05850,0.00026,0.00098,0.00460,0.00746
107,0.00029,0.01635,0.00235,0.00230,0.00255,0.01121,0.01281,0.00034,0.00031,0.00065,0.00007,0.00067,0.04515,0.68078,0.00056,0.00134,0.00022,0.00001,0.00263,0.00147,0.00279,0.03495,0.00004,0.00286,0.00015,0.04089,0.00045,0.00929,0.00043,0.00363,0.00008,0.00008,0.00061,0.00120,0.00110,0.00097,0.00282,0.00047,0.00003,0.03527,0.00319,0.00197,0.00378,0.00097,0.00240,0.00225,0.00260,0.00052,0.06153,0.00061
108,0.00001,0.00007,0.00002,0.04901,0.00000,0.00048,0.00003,0.00002,0.00028,0.00049,0.00010,0.00000,0.00773,0.05335,0.00901,0.00004,0.00001,0.00000,0.00002,0.00000,0.00000,0.00199,0.00000,0.00008,0.00003,0.13300,0.00000,0.00336,0.00016,0.00000,0.00000,0.00025,0.00000,0.00052,0.00005,0.00001,0.00004,0.00017,0.00000,0.00012,0.00004,0.00004,0.00000,0.00000,0.01260,0.69691,0.00018,0.00011,0.02818,0.00146
